KGP_sample_id	karyotype	superpopulation	population	unrelated
HG00096	XY	EUR	GBR	true
HG00097	XX	EUR	GBR	true
HG00099	XX	EUR	GBR	true
HG00100	XX	EUR	GBR	true
HG00101	XY	EUR	GBR	true
HG00102	XX	EUR	GBR	true
HG00103	XY	EUR	GBR	true
HG00105	XY	EUR	GBR	true
HG00106	XX	EUR	GBR	true
HG00107	XY	EUR	GBR	true
HG00108	XY	EUR	GBR	true
HG00109	XY	EUR	GBR	true
HG00110	XX	EUR	GBR	true
HG00111	XX	EUR	GBR	true
HG00112	XY	EUR	GBR	true
HG00113	XY	EUR	GBR	true
HG00114	XY	EUR	GBR	true
HG00115	XY	EUR	GBR	true
HG00116	XY	EUR	GBR	true
HG00117	XY	EUR	GBR	true
HG00118	XX	EUR	GBR	true
HG00119	XY	EUR	GBR	true
HG00120	XX	EUR	GBR	true
HG00121	XX	EUR	GBR	true
HG00122	XX	EUR	GBR	true
HG00123	XX	EUR	GBR	true
HG00125	XX	EUR	GBR	true
HG00126	XY	EUR	GBR	true
HG00127	XX	EUR	GBR	true
HG00128	XX	EUR	GBR	true
HG00129	XY	EUR	GBR	true
HG00130	XX	EUR	GBR	true
HG00131	XY	EUR	GBR	true
HG00132	XX	EUR	GBR	true
HG00133	XX	EUR	GBR	true
HG00136	XY	EUR	GBR	true
HG00137	XX	EUR	GBR	true
HG00138	XY	EUR	GBR	true
HG00139	XY	EUR	GBR	true
HG00140	XY	EUR	GBR	true
HG00141	XY	EUR	GBR	true
HG00142	XY	EUR	GBR	true
HG00143	XY	EUR	GBR	true
HG00145	XY	EUR	GBR	true
HG00146	XX	EUR	GBR	true
HG00148	XY	EUR	GBR	true
HG00149	XY	EUR	GBR	true
HG00150	XX	EUR	GBR	true
HG00151	XY	EUR	GBR	true
HG00154	XX	EUR	GBR	true
HG00155	XY	EUR	GBR	true
HG00157	XY	EUR	GBR	true
HG00158	XX	EUR	GBR	true
HG00159	XY	EUR	GBR	true
HG00160	XY	EUR	GBR	true
HG00171	XX	EUR	FIN	true
HG00173	XX	EUR	FIN	true
HG00174	XX	EUR	FIN	true
HG00176	XX	EUR	FIN	true
HG00177	XX	EUR	FIN	true
HG00178	XX	EUR	FIN	true
