IID,inferred_pop
10005770025_R01C02,EUR
10005770025_R05C01,EUR
10005770025_R06C01,EUR
10005770025_R06C02,EAS
10005770027_R03C01,EAS
10005770027_R03C02,SAS
10005770027_R04C02,SAS
10005770027_R05C01,EUR
10005770027_R05C02,EUR
10005770027_R06C02,EUR
10005770073_R01C01,EUR
10005770073_R01C02,EUR
10005770073_R06C01,EUR
10005770082_R04C02,EAS
10005770082_R05C02,EUR
10005770082_R06C02,EUR
10005770084_R01C02,AMR
10005770084_R03C02,AMR
10005770084_R04C02,AMR
10005770084_R06C01,EUR
10005770089_R02C02,EUR
10005770089_R03C02,EUR
10005770089_R04C02,EUR
10005770089_R05C02,EUR
10005770089_R06C02,SAS
10005770090_R01C01,AMR
10005770090_R01C02,EUR
10005770090_R02C01,AMR
10005770090_R02C02,EUR
10005770090_R03C01,EAS
10005770090_R03C02,EUR
10005770090_R04C01,EAS
10005770090_R04C02,EUR
10005770090_R05C01,AMR
10005770090_R06C01,EUR
10005770091_R01C01,SAS
10005770091_R01C02,EUR
10005770091_R02C01,AFR
10005770091_R02C02,EAS
10005770091_R03C01,EUR
10005770091_R03C02,EUR
10005770091_R04C01,EAS
10005770091_R04C02,EUR
10005770091_R05C01,EUR
10005770091_R05C02,AMR
10005770091_R06C01,EUR
10005770091_R06C02,EUR
10005770093_R01C01,EUR
10005770093_R02C01,EUR
10005770093_R03C01,EUR
10005770093_R04C01,EUR
10005770093_R04C02,EUR
10005770093_R05C01,EUR
10005770093_R06C01,EUR
10005770094_R01C01,EUR
10005770094_R01C02,EUR
10005770094_R02C01,EUR
10005770094_R02C02,EUR
10005770094_R03C02,EUR
10005770094_R04C02,EUR
10005770094_R05C01,EUR
10005770097_R01C02,EUR
10005770097_R02C01,EUR
10005770097_R02C02,EUR
10005770097_R03C01,EUR
10005770097_R03C02,AMR
10005770097_R04C02,EUR
10005770097_R05C01,EAS
10005770097_R06C01,EAS
10005770099_R01C01,EUR
10005770099_R02C01,EAS
10005770099_R03C01,EUR
10005770099_R04C01,EUR
10005770099_R05C01,AFR
10005770099_R06C01,AFR
10005770102_R01C01,SAS
10005770102_R01C02,EAS
10005770102_R02C01,EAS
10005770102_R04C01,SAS
10005770102_R05C01,EUR
10005770102_R06C01,EUR
10005770103_R01C01,EUR
10005770103_R02C01,EUR
10005770103_R03C01,EUR
10005770103_R04C01,EUR
10005770103_R05C01,EUR
10005770103_R05C02,EUR
10005770103_R06C01,EUR
10005770103_R06C02,EUR
10005770104_R01C01,EAS
10005770104_R01C02,EUR
10005770104_R02C01,EUR
10005770104_R03C01,EUR
10005770104_R04C01,EUR
10005770104_R05C01,EUR
10005770104_R06C01,EUR
10005770106_R01C01,SAS
10005770106_R02C01,EUR
10005770106_R03C01,EUR
10005770106_R04C01,EUR
10005770106_R05C01,EUR
10005770117_R05C01,EUR
10005770118_R03C02,EUR
10005770118_R04C02,EUR
10005770118_R05C01,EUR
10005770118_R06C01,AFR
10005770118_R06C02,AMR
10005770127_R01C01,EAS
10005770127_R02C01,EAS
10005770128_R03C02,SAS
10005770128_R04C02,EUR
10005770128_R05C02,EUR
10005770128_R06C02,EAS
10005770129_R06C01,EUR
10005770130_R02C02,EUR
10005770130_R03C02,EUR
10005770130_R04C01,EUR
10005770130_R04C02,EAS
10005770130_R05C01,EUR
10005770130_R05C02,EAS
10005770130_R06C02,EUR
10005770137_R01C01,AMR
10005770137_R02C01,AMR
10005770137_R02C02,EUR
10005770137_R03C01,EUR
10005770137_R03C02,EUR
10005770137_R04C01,EUR
10005770137_R05C01,EUR
10005770137_R06C01,EUR
10005770138_R01C01,EUR
10005770138_R02C01,EUR
10005770138_R02C02,EUR
10005770138_R03C01,EUR
10005770143_R06C02,EUR
10005770149_R01C01,EUR
10005770149_R02C01,EUR
10005770149_R03C01,EUR
10005770149_R04C01,EAS
10005770149_R04C02,EAS
10005770149_R05C01,EUR
10005770149_R05C02,EUR
10005770149_R06C01,EUR
10005770149_R06C02,EUR
10005770150_R01C01,EUR
10005770150_R01C02,EAS
10005770150_R02C01,EUR
10005770150_R02C02,EUR
10005770150_R03C01,EUR
10005770150_R03C02,EUR
10005770150_R04C01,SAS
10005770150_R05C01,EUR
10005770150_R06C01,EUR
10005770150_R06C02,EUR
10005770157_R01C01,EUR
10005770157_R01C02,EAS
10005770157_R02C01,EUR
10005770157_R02C02,EAS
10005770157_R03C02,EUR
10005770157_R06C01,SAS
10005770157_R06C02,SAS
10005770168_R01C02,EUR
10005770168_R02C02,EUR
10005770168_R04C01,EUR
10005770168_R04C02,EUR
10005791007_R01C01,EUR
10005791007_R03C01,EUR
10005791007_R04C01,EUR
10005791007_R05C01,EUR
10005791008_R01C01,EUR
10005791008_R01C02,EUR
10005791008_R02C01,EUR
10005791008_R02C02,EUR
10005791008_R03C01,EUR
10005791008_R04C01,EUR
10005791008_R05C02,SAS
10005791009_R01C01,EUR
10005791009_R01C02,EUR
10005791009_R04C02,EUR
10005791009_R05C01,AMR
10005791009_R05C02,SAS
10005791009_R06C01,EUR
10005791009_R06C02,SAS
10005791020_R06C02,EUR
10005791022_R03C01,EUR
10005791030_R05C02,EUR
10005791031_R03C01,AFR
10005791031_R04C01,AFR
10005791031_R05C01,EUR
10005791031_R06C01,AMR
10005791038_R01C02,EUR
10005791038_R02C02,EUR
10005791038_R03C02,EAS
10005791038_R04C01,SAS
10005791038_R04C02,EAS
10005791038_R05C01,SAS
10005791038_R05C02,EUR
10005791038_R06C01,AMR
10005791038_R06C02,EUR
10005791045_R06C02,SAS
10005791047_R01C01,SAS
10005791047_R01C02,AMR
10005791047_R02C01,EUR
10005791047_R02C02,EAS
10005791047_R03C01,EUR
10005791047_R04C01,EUR
10005791047_R05C01,EUR
10005791047_R05C02,EUR
10005791047_R06C01,AFR
10005791047_R06C02,EUR
10005791048_R01C01,EUR
10005791048_R01C02,EUR
10005791048_R02C01,EUR
10005791048_R02C02,AMR
10005791048_R03C01,EUR
10005791048_R03C02,EUR
10005791048_R04C01,EUR
10005791048_R04C02,EUR
10005791048_R05C02,EUR
10005791048_R06C02,EUR
10005791050_R01C01,EAS
10005791050_R01C02,EUR
10005791050_R02C01,EUR
10005791050_R02C02,AFR
10005791050_R03C01,EUR
10005791050_R04C01,EUR
10005791050_R05C01,AFR
10005791050_R06C01,EUR
10005791052_R03C02,SAS
10005791052_R04C02,SAS
10005791052_R05C02,AFR
10005791052_R06C02,AFR
10005791054_R01C01,EUR
10005791055_R02C01,EAS
10005791055_R02C02,EUR
10005791057_R02C02,EUR
10005791057_R03C02,EUR
10005791057_R04C02,EAS
10005791057_R05C02,EAS
10005791067_R01C02,EUR
10005791067_R02C01,EUR
10005791067_R02C02,EUR
10005791067_R03C01,EUR
10005791067_R03C02,EUR
10005791067_R04C01,EUR
10005791067_R04C02,EUR
10005791067_R05C01,EUR
10005791067_R05C02,EAS
10005791067_R06C01,EUR
10005791067_R06C02,EUR
10005791070_R01C02,EAS
10005791070_R02C01,SAS
10005791070_R02C02,EAS
10005791070_R03C01,SAS
10005791070_R03C02,EAS
10005791070_R04C02,EUR
10005791070_R05C02,EUR
10005791070_R06C01,EAS
10005791072_R01C01,EUR
10005791072_R01C02,EUR
10005791072_R02C01,EUR
10005791072_R02C02,EUR
10005791072_R03C01,EUR
10005791072_R04C01,EUR
10005791072_R05C01,EUR
10005791072_R06C01,EUR
10005791085_R01C01,EUR
10005791085_R01C02,EUR
10005791085_R02C01,AMR
10005791085_R02C02,EUR
10005791085_R03C01,AMR
10005791085_R03C02,EUR
10005791085_R04C01,EUR
10005791085_R05C01,EUR
10005791085_R06C01,EUR
10005791085_R06C02,SAS
10005791091_R03C02,EUR
10005791092_R01C02,EUR
10005791092_R03C01,EUR
10005791092_R04C01,EUR
10005791092_R04C02,EUR
10005791092_R05C01,EUR
10005791092_R05C02,AMR
10005791092_R06C01,EUR
10005791095_R01C01,AMR
10005791095_R01C02,AMR
10005791095_R02C02,EUR
10005791095_R03C02,EUR
10005791095_R04C01,EUR
10005791095_R04C02,EUR
10005791095_R05C01,EUR
10005791095_R05C02,EUR
10005791095_R06C01,EUR
10005791095_R06C02,EUR
10005791096_R01C02,EUR
10005791096_R02C02,EUR
10005791096_R03C01,EUR
10005791096_R03C02,EUR
10005791096_R04C01,AMR
10005791096_R04C02,EUR
10005791096_R05C01,EUR
10005791096_R06C01,EUR
10008541069_R05C02,EUR
10008541134_R01C01,AMR
10008541134_R01C02,SAS
10008541134_R02C01,AMR
10008541134_R02C02,EUR
10008541134_R03C01,AMR
10008541134_R03C02,EUR
10008541134_R04C01,AMR
10008541134_R05C01,EAS
10008541134_R05C02,EUR
10008541134_R06C01,SAS
10008541141_R03C02,EUR
10008541141_R04C02,EUR
10008541141_R05C01,EUR
10008541141_R05C02,EUR
10008541141_R06C02,EAS
10008541151_R01C02,AMR
10008541151_R02C01,EAS
10008541151_R04C02,AMR
10008541151_R05C01,SAS
10008541151_R06C01,EUR
10008541155_R01C02,EAS
10008541155_R02C02,AMR
10008541155_R03C02,EUR
10013440012_R02C01,EAS
10013440012_R03C01,EAS
10013440012_R06C01,EAS
10013440017_R01C01,AFR
10013440017_R01C02,AFR
10013440017_R02C01,AFR
10013440017_R02C02,AFR
10013440017_R03C01,SAS
10013440017_R04C01,EAS
10013440017_R05C02,EUR
10013440017_R06C02,EUR
10013440021_R01C02,EUR
10013440021_R02C02,EAS
10013440021_R03C02,EAS
10013440021_R04C01,EAS
10013440021_R06C01,EUR
10013440025_R01C02,SAS
10013440025_R02C02,EUR
10013440025_R03C02,EAS
10013440025_R04C02,EUR
10013440025_R06C01,EUR
10013440047_R04C02,EUR
10013440047_R05C02,EUR
10013440049_R01C01,EUR
